genes,coordinates
YHR012W,chrVIII:125774-125806:+
YHR013C,chrVIII:127809-127848:-
YHR014W,chrVIII:128319-128400:+
YHR015W,chrVIII:130914-130938:+
YHR017W,chrVIII:135064-135102:+
YHR018C,chrVIII:137788-137934:-
YHR019C,chrVIII:139990-140076:-
YHR020W,chrVIII:140257-140366:+
YHR023W,chrVIII:147630-147668:+
YHR024C,chrVIII:155259-155326:-
YHR025W,chrVIII:155432-155487:+
YHL044W,chrVIII:15567-15583:+
YHR026W,chrVIII:156748-156791:+
YHR027C,chrVIII:160775-160854:-
YHR028C,chrVIII:163492-163564:-
YHR029C,chrVIII:164626-164674:-
YHR030C,chrVIII:166409-166618:-
YHR031C,chrVIII:169009-169082:-
YHR032W,chrVIII:169232-169297:+
YHR033W,chrVIII:171460-171666:+
YHR034C,chrVIII:174047-174089:-
YHR035W,chrVIII:174164-174239:+
YHR036W,chrVIII:176241-176264:+
YHR037W,chrVIII:177941-177989:+
YHR038W,chrVIII:180062-180091:+
YHR039C,chrVIII:182815-182990:-
YHR039C-A,chrVIII:183708-183740:-
YHR040W,chrVIII:183919-183949:+
YHR042W,chrVIII:186487-186548:+
YHR044C,chrVIII:189587-189655:-
YHR045W,chrVIII:190158-190257:+
YHR046C,chrVIII:193082-193198:-
YHR047C,chrVIII:196074-196152:-
YHR048W,chrVIII:199291-199321:+
YHR049W,chrVIII:201179-201193:+
YHR050W,chrVIII:202362-202370:+
YHR051W,chrVIII:204279-204452:+
YHR052W,chrVIII:205567-205581:+
YHR055C,chrVIII:207202-207640:-
YHR056C,chrVIII:210615-210642:-
YHR057C,chrVIII:211587-211667:-
YHR058C,chrVIII:212653-212696:-
YHR059W,chrVIII:212767-212834:+
YHR060W,chrVIII:213451-213501:+
YHR061C,chrVIII:215429-215450:-
YHR062C,chrVIII:216517-216553:-
YHR063C,chrVIII:217929-218006:-
YHR066W,chrVIII:222040-222076:+
YHR065C,chrVIII:222153:-
YHR067W,chrVIII:223675-223715:+
YHR068W,chrVIII:224832-224847:+
YHR069C,chrVIII:227424-227446:-
YHR070W,chrVIII:227618-227651:+
YHR071W,chrVIII:229349-229417:+
YHL040C,chrVIII:23167-23202:-
YHR072W,chrVIII:232770-232877:+
YHR072W-A,chrVIII:235366-235430:+
YHR073W,chrVIII:236255-236347:+
YHL039W,chrVIII:23766-23784:+
YHR074W,chrVIII:239910-239963:+
YHR075C,chrVIII:243481-243503:-
YHR076W,chrVIII:244847-244897:+
YHR077C,chrVIII:249598-249618:-
YHR078W,chrVIII:250104-250126:+
YHR079C,chrVIII:255625-255671:-
YHR079C-A,chrVIII:256304-256377:-
YHR080C,chrVIII:260707-260831:-
YHR081W,chrVIII:261260-261317:+
YHR083W,chrVIII:266395-266448:+
YHR084W,chrVIII:267627-267633:+
YHR085W,chrVIII:270512-270533:+
YHR086W,chrVIII:271708-271770:+
YHR087W,chrVIII:274475-274540:+
YHR088W,chrVIII:275217-275298:+
YHL038C,chrVIII:27557-27595:-
YHR089C,chrVIII:277114-277169:-
YHR090C,chrVIII:278391-278456:-
YHR091C,chrVIII:280568-280633:-
YHL036W,chrVIII:28184-28266:+
YHR092C,chrVIII:282684:-
YHR096C,chrVIII:290259-290613:-
YHR098C,chrVIII:295786-295838:-
YHR100C,chrVIII:308466-308536:-
YHR101C,chrVIII:309768-309831:-
YHR102W,chrVIII:310198-310239:+
YHR103W,chrVIII:313920-314055:+
YHR104W,chrVIII:317096-317197:+
YHR105W,chrVIII:318451-318494:+
YHR106W,chrVIII:319333-319477:+
YHR107C,chrVIII:321871-321958:-
YHR108W,chrVIII:322048-322101:+
YHR109W,chrVIII:324092-324113:+
YHR110W,chrVIII:326061-326119:+
YHR111W,chrVIII:326856-326886:+
YHR112C,chrVIII:329498-329588:-
YHR113W,chrVIII:330111-330196:+
YHR114W,chrVIII:331760-331840:+
YHR115C,chrVIII:335222-335355:-
YHR117W,chrVIII:336088-336135:+
YHR118C,chrVIII:339424-339455:-
YHR119W,chrVIII:339536-339631:+
YHR121W,chrVIII:346461-346523:+
YHR122W,chrVIII:347331-347410:+
YHR123W,chrVIII:348515-348590:+
YHR124W,chrVIII:350162-350321:+
YHR127W,chrVIII:354968-355030:+
YHR128W,chrVIII:356138-356217:+
YHR129C,chrVIII:358354-358415:-
YHL034C,chrVIII:36152-36257:-
YHR131C,chrVIII:362042-362114:-
YHR132C,chrVIII:363937-364014:-
YHR132W-A,chrVIII:364097-364242:+
YHR133C,chrVIII:365746-365770:-
YHR135C,chrVIII:368489-368586:-
YHR136C,chrVIII:369428-369479:-
YHR137W,chrVIII:369769-369826:+
YHR138C,chrVIII:371772-371916:-
YHR139C,chrVIII:373302-373355:-
YHR140W,chrVIII:374619-374668:+
YHR142W,chrVIII:377480-377563:+
YHR143W,chrVIII:379331-379353:+
YHL033C,chrVIII:38065-38148:-
YHR143W-A,chrVIII:381254-381309:+
YHR144C,chrVIII:382859-382861:-
YHR146W,chrVIII:384317-384412:+
YHR147C,chrVIII:387450-387504:-
YHR148W,chrVIII:387650-387676:+
YHR149C,chrVIII:390910-390993:-
YHR150W,chrVIII:391330-391414:+
YHR151C,chrVIII:395152-395199:-
YHR152W,chrVIII:395477-395582:+
YHR153C,chrVIII:396789-396907:-
YHR154W,chrVIII:397084-397115:+
YHR155W,chrVIII:401152-401174:+
YHL032C,chrVIII:40485-40657:-
YHR156C,chrVIII:406539-406612:-
YHR157W,chrVIII:406994-407068:+
YHR158C,chrVIII:411474-411487:-
YHR159W,chrVIII:411626-411672:+
YHR160C,chrVIII:414237-414271:-
YHL031C,chrVIII:41486-41589:-
YHR161C,chrVIII:416490-416778:-
YHR162W,chrVIII:417012-417153:+
YHR163W,chrVIII:417852-417893:+
YHL030W,chrVIII:42051-42117:+
YHR164C,chrVIII:423432-423444:-
YHR166C,chrVIII:433279-433328:-
YHR167W,chrVIII:433435-433463:+
YHR168W,chrVIII:434492-434531:+
YHR169W,chrVIII:436247-436321:+
YHR170W,chrVIII:437913-437954:+
YHR171W,chrVIII:439833-439868:+
YHR172W,chrVIII:442358-442421:+
YHR174W,chrVIII:445379-445490:+
YHR173C,chrVIII:445538-445616:-
YHR176W,chrVIII:448274-448366:+
YHR177W,chrVIII:450674-450740:+
YHR178W,chrVIII:453404-453428:+
YHR179W,chrVIII:456566-456655:+
YHR180W,chrVIII:459100-459201:+
YHR181W,chrVIII:461153-461218:+
YHR182W,chrVIII:462150-462187:+
YHR183W,chrVIII:464860-464881:+
YHR184W,chrVIII:466711-466728:+
YHR185C,chrVIII:469414-469432:-
YHR186C,chrVIII:475361-475454:-
YHR187W,chrVIII:475616-475643:+
YHR188C,chrVIII:478502-478563:-
YHR189W,chrVIII:478645-478709:+
YHR190W,chrVIII:479432-479498:+
YHR191C,chrVIII:481290-481352:-
YHR192W,chrVIII:481413-481487:+
YHR193C,chrVIII:482911-482962:-
YHR194W,chrVIII:483248-483285:+
YHR195W,chrVIII:485227-485320:+
YHR196W,chrVIII:486539:+
YHR199C,chrVIII:493082-493147:-
YHR200W,chrVIII:493659-493773:+
YHR201C,chrVIII:495802-495830:-
YHR202W,chrVIII:496928-497105:+
YHL029C,chrVIII:50011-50070:-
YHR203C,chrVIII:500222-500336:-
YHR204W,chrVIII:500915-500944:+
YHR205W,chrVIII:503544-503625:+
YHL028W,chrVIII:50676-50708:+
YHR206W,chrVIII:507095-507160:+
YHR207C,chrVIII:511156-511225:-
YHR208W,chrVIII:512111-512191:+
YHR209W,chrVIII:513995-514113:+
YHL027W,chrVIII:53014-53117:+
YHL026C,chrVIII:56286-56450:-
YHL025W,chrVIII:56822-56937:+
YHL024W,chrVIII:58529-58757:+
YHL023C,chrVIII:64708-64746:-
YHL022C,chrVIII:66324-66466:-
YHL021C,chrVIII:67935-68089:-
YHL020C,chrVIII:69580-69699:-
YHL019C,chrVIII:71670-71718:-
YHL018W,chrVIII:71785-71821:+
YHL017W,chrVIII:72375-72384:+
YHL016C,chrVIII:76386-76414:-
YHL015W,chrVIII:77442-77519:+
YHL014C,chrVIII:79414-79455:-
YHL013C,chrVIII:80456-80526:-
YHL011C,chrVIII:83978-84061:-
YHL048W,chrVIII:8409-8442:+
YHL010C,chrVIII:86024-86097:-
YHL009C,chrVIII:87461-87525:-
YHL008C,chrVIII:90985-91116:-
YHL007C,chrVIII:94703-94758:-
YHL006C,chrVIII:95493-95536:-
YHL004W,chrVIII:95786-95811:+
YHL003C,chrVIII:98614-98719:-
YHL002W,chrVIII:99230-99267:+
YJL177W,chrX:100289-100420:+
YJL176C,chrX:104193-104247:-
YJL174W,chrX:104582-104718:+
YJL173C,chrX:106173-106235:-
YJL172W,chrX:107615-107726:+
YJL171C,chrX:110874-110950:-
YJL170C,chrX:111776-111870:-
YJL168C,chrX:114466-114513:-
YJL167W,chrX:114866-114953:+
YJL166W,chrX:116299-116391:+
YJL165C,chrX:119469-119612:-
YJL164C,chrX:121202-121415:-
YJL163C,chrX:123307-123416:-
YJL162C,chrX:125643-125653:-
YJL161W,chrX:127156-127204:+
YJL160C,chrX:128823-128885:-
YJL159W,chrX:130237-130433:+
YJL158C,chrX:132857-132906:-
YJL156C,chrX:138869-138941:-
YJL155C,chrX:140606-140730:-
YJL154C,chrX:143871-143922:-
YJL153C,chrX:145783-145976:-
YJL151C,chrX:146673-146754:-
YJL149W,chrX:147213-147306:+
YJL148W,chrX:150253-150271:+
YJL147C,chrX:152501-152549:-
YJL146W,chrX:153041-153101:+
YJL145W,chrX:154955-155036:+
YJL144W,chrX:156163-156257:+
YJL143W,chrX:156929-156980:+
YJL141C,chrX:160364-160420:-
YJL140W,chrX:160733-160819:+
YJL139C,chrX:162940-163036:-
YJL138C,chrX:164603-164703:-
YJL137C,chrX:166038-166138:-
YJL134W,chrX:168025-168060:+
YJL133C-A,chrX:169746-169820:-
YJL133W,chrX:170364-170463:+
YJL132W,chrX:171764-171833:+
YJL131C,chrX:175282-175309:-
YJL130C,chrX:182389-182427:-
YJL129C,chrX:187475-187520:-
YJL128C,chrX:190198-190269:-
YJL127C-B,chrX:191680-191744:-
YJL127C,chrX:194192-194258:-
YJL126W,chrX:194358-194416:+
YJL125C,chrX:196606-196654:-
YJL124C,chrX:197690-197743:-
YJL123C,chrX:199358-199440:-
YJL122W,chrX:199599-199637:+
YJL121C,chrX:201008-201084:-
YJL118W,chrX:201548-201618:+
YJL117W,chrX:202332-202438:+
YJL116C,chrX:204860-205017:-
YJL115W,chrX:206108-206161:+
YJL112W,chrX:215446-215552:+
YJL111W,chrX:218022-218090:+
YJL110C,chrX:221792-221915:-
YJL107C,chrX:230272-230348:-
YJL106W,chrX:231138-231550:+
YJL104W,chrX:237493-237549:+
YJL103C,chrX:241148-241309:-
YJL102W,chrX:241473-241552:+
YJL101C,chrX:246666-246798:-
YJL100W,chrX:247409-247492:+
YJL099W,chrX:249525-249585:+
YJL098W,chrX:252102-252208:+
YJL097W,chrX:255719-255815:+
YJL096W,chrX:256655-256688:+
YJL095W,chrX:257397-257406:+
YJL094C,chrX:264647-264710:-
YJL092W,chrX:267413-267455:+
YJL090C,chrX:275323-275380:-
YJL089W,chrX:275988-276155:+
YJL088W,chrX:278947-278983:+
YJL087C,chrX:282781-282815:-
YJL085W,chrX:282943-282989:+
YJL084C,chrX:288321-288360:-
YJL083W,chrX:288981-289008:+
YJL082W,chrX:291266-291354:+
YJL081C,chrX:295482-295549:-
YJL080C,chrX:299570-299685:-
YJL079C,chrX:300862-301248:-
YJL078C,chrX:304271-304324:-
YJL076W,chrX:305426-305482:+
YJL074C,chrX:313117-313179:-
YJL073W,chrX:313309-313374:+
YJL072C,chrX:316122-316191:-
YJL071W,chrX:316299-316347:+
YJL218W,chrX:31711-31780:+
YJL070C,chrX:320909-320984:-
YJL068C,chrX:324173-324263:-
YJL066C,chrX:325116-325184:-
YJL065C,chrX:325821-325888:-
YJL063C,chrX:326755-326789:-
YJL062W-A,chrX:326939-326980:+
YJL062W,chrX:327486-327532:+
YJL061W,chrX:330211-330232:+
YJL060W,chrX:333578-333652:+
YJL059W,chrX:335163-335196:+
YJL058C,chrX:338158-338192:-
YJL057C,chrX:340377-340479:-
YJL056C,chrX:343318-343392:-
YJL055W,chrX:343544-343612:+
YJL054W,chrX:344459-344502:+
YJL053W,chrX:346063-346113:+
YJL052W,chrX:348390-348478:+
YJL051W,chrX:349947:+
YJL050W,chrX:352690-352705:+
YJL049W,chrX:356166-356210:+
YJL048C,chrX:358861-358971:-
YJL047C,chrX:362392-362458:-
YJL046W,chrX:362544-362624:+
YJL045W,chrX:366316-366413:+
YJL044C,chrX:370070-370116:-
YJL042W,chrX:371503-371602:+
YJL039C,chrX:384263-384341:-
YJL038C,chrX:386152-386293:-
YJL037W,chrX:386845-386945:+
YJL036W,chrX:389345-389499:+
YJL035C,chrX:391740-391758:-
YJL034W,chrX:391928-392013:+
YJL033W,chrX:394478-394510:+
YJL031C,chrX:398183-398237:-
YJL030W,chrX:398276-398348:+
YJL029C,chrX:401598-401648:-
YJL026W,chrX:402894-403045:+
YJL025W,chrX:404543-404585:+
YJL024C,chrX:407285-407301:-
YJL213W,chrX:40774-40794:+
YJL023C,chrX:409024-409086:-
YJL020C,chrX:413215-413296:-
YJL019W,chrX:413529-413591:+
YJL014W,chrX:418250-418310:+
YJL013C,chrX:421776-421846:-
YJL012C,chrX:424169-424228:-
YJL011C,chrX:425547-425586:-
YJL010C,chrX:430704-430725:-
YJL008C,chrX:432788-432840:-
YJL006C,chrX:435257-435304:-
YJL005W,chrX:436124-436166:+
YJL004C,chrX:443318-443374:-
YJL003W,chrX:443720-443769:+
YJL002C,chrX:445801-445872:-
YJL001W,chrX:446239-446306:+
YJR001W,chrX:447861-447937:+
YJR002W,chrX:449976-450007:+
YJL212C,chrX:45233-45326:-
YJR003C,chrX:453799-453840:-
YJL210W,chrX:45656-45879:+
YJR005W,chrX:457100-457128:+
YJR005C-A,chrX:459736-460214:-
YJR006W,chrX:460420-460471:+
YJR007W,chrX:462118-462189:+
YJR008W,chrX:463496-463686:+
YJR009C,chrX:465926-466054:-
YJR010W,chrX:467268-467472:+
YJL209W,chrX:46878-46910:+
YJR010C-A,chrX:469583-469642:-
YJR011C,chrX:470625-470690:-
YJR012C,chrX:471356-471446:-
YJR013W,chrX:471519-471572:+
YJR014W,chrX:472946-473020:+
YJR015W,chrX:473858-473892:+
YJR016C,chrX:477408-477460:-
YJR019C,chrX:479471-479527:-
YJR021C,chrX:480766-480843:-
YJR024C,chrX:482161-482202:-
YJR025C,chrX:482871-482907:-
YJR030C,chrX:485903-485989:-
YJR031C,chrX:490565-490587:-
YJR033C,chrX:496145-496190:-
YJR034W,chrX:496261-496329:+
YJL208C,chrX:50150-50218:-
YJR036C,chrX:503231-503293:-
YJR039W,chrX:503412-503499:+
YJR040W,chrX:507423-507432:+
YJR041C,chrX:513532-513551:-
YJR042W,chrX:513739-513769:+
YJR043C,chrX:517246-517307:-
YJR044C,chrX:518878-519041:-
YJR045C,chrX:521379-521467:-
YJR046W,chrX:521669-521745:+
YJR048W,chrX:525872-526010:+
YJR049C,chrX:528162-528217:-
YJR050W,chrX:528357-528453:+
YJR051W,chrX:529475-529635:+
YJR052W,chrX:531680-531749:+
YJR053W,chrX:533649-533721:+
YJR055W,chrX:538077-538123:+
YJR056C,chrX:541649-541736:-
YJR057W,chrX:543621-543654:+
YJR058C,chrX:544767-544881:-
YJR059W,chrX:545267-545320:+
YJR060W,chrX:548228-548310:+
YJR061W,chrX:549807-549820:+
YJR062C,chrX:554431-554475:-
YJR063W,chrX:554730-554768:+
YJR064W,chrX:555436-555479:+
YJR065C,chrX:558738-558816:-
YJR066W,chrX:558959-558990:+
YJL207C,chrX:56410-56431:-
YJR067C,chrX:567033-567097:-
YJR068W,chrX:567154-567234:+
YJR069C,chrX:569001-569043:-
YJR072C,chrX:571727-571775:-
YJR074W,chrX:572317-572336:+
YJR073C,chrX:572518-572628:-
YJR075W,chrX:573513-573553:+
YJR076C,chrX:576222-576276:-
YJR077C,chrX:577787-577851:-
YJR078W,chrX:578405-578494:+
YJR080C,chrX:581199-581293:-
YJR082C,chrX:581921-582019:-
YJR083C,chrX:583139-583182:-
YJR084W,chrX:583286-583321:+
YJR085C,chrX:585046-585116:-
YJR086W,chrX:585632-585639:+
YJR088C,chrX:586993-587021:-
YJR089W,chrX:587171-587226:+
YJL206C,chrX:58882-58933:-
YJR090C,chrX:594164-594226:-
YJL205C,chrX:59417-59468:-
YJR091C,chrX:597922-598004:-
YJR092W,chrX:598231-598319:+
YJR093C,chrX:603803-603891:-
YJR094C,chrX:604929-605257:-
YJR094W-A,chrX:607880-607907:+
YJR095W,chrX:609183-609349:+
YJR096W,chrX:610647-610836:+
YJR097W,chrX:611902-611944:+
YJR098C,chrX:614775-614846:-
YJR099W,chrX:614997-615095:+
YJR100C,chrX:616923-617031:-
YJR101W,chrX:617737-617803:+
YJR102C,chrX:619405-619523:-
YJR103W,chrX:620157-620392:+
YJL204C,chrX:62110-62174:-
YJL203W,chrX:62246-62289:+
YJR104C,chrX:622550-622673:-
YJR105W,chrX:623114-623172:+
YJR106W,chrX:624277-624434:+
YJR107W,chrX:626775-626782:+
YJR109C,chrX:632560-632627:-
YJR110W,chrX:633059-633130:+
YJL201W,chrX:63319-63341:+
YJR111C,chrX:636403-636476:-
YJR112W,chrX:636605-636641:+
YJR112W-A,chrX:637352-637416:+
YJR113C,chrX:638597-638667:-
YJR116W,chrX:640248-640429:+
YJR117W,chrX:641508-641577:+
YJR118C,chrX:643703-643760:-
YJR119C,chrX:646081-646158:-
YJR121W,chrX:647149-647190:+
YJR122W,chrX:649260-649328:+
YJR123W,chrX:651387-651459:+
YJR124C,chrX:653815-653862:-
YJR125C,chrX:655569-655628:-
YJR126C,chrX:658225-658296:-
YJR129C,chrX:664615-664670:-
YJR130C,chrX:666743-666812:-
YJR131W,chrX:667180-667235:+
YJR132W,chrX:669052-669075:+
YJR133W,chrX:672432-672578:+
YJR134C,chrX:675467-675534:-
YJR135C,chrX:676377-676444:-
YJR135W-A,chrX:676515-676556:+
YJL200C,chrX:67801-67847:-
YJR136C,chrX:678305-678360:-
YJR137C,chrX:682914-682960:-
YJR138W,chrX:684119-684132:+
YJR139C,chrX:690139-690237:-
YJR140C,chrX:695341-695374:-
YJR141W,chrX:695453-695515:+
YJR142W,chrX:696687-696741:+
YJR143C,chrX:700237-700296:-
YJR144W,chrX:700411-700467:+
YJR145C,chrX:702663-702709:-
YJR147W,chrX:703675-703741:+
YJL198W,chrX:70413-70478:+
YJR148W,chrX:705121-705348:+
YJR149W,chrX:706727-706829:+
YJR152W,chrX:718900-719030:+
YJL197W,chrX:73374-73442:+
YIL173W,chrX:741865:-
YJL196C,chrX:78426-78498:-
YJL194W,chrX:78904-78944:+
YJL193W,chrX:80990-81008:+
YJL192C,chrX:83068-83132:-
YJL190C,chrX:84961-85040:-
YJL189W,chrX:85532-85554:+
YJL187C,chrX:88923-89098:-
YJL186W,chrX:89704-89782:+
YJL185C,chrX:92635-92687:-
YJL184W,chrX:93039-93095:+
YJL183W,chrX:93622-93704:+
YJL181W,chrX:95255-95293:+
YJL180C,chrX:98212-98274:-
YJL179W,chrX:98342-98401:+
YJL178C,chrX:99745-99782:-
YKL186C,chrXI:100052-100127:-
YKL185W,chrXI:100867-100904:+
YKL184W,chrXI:103250-103365:+
YKL183W,chrXI:105271-105327:+
YKL182W,chrXI:107059-107301:+
YKL181W,chrXI:113823-113918:+
YKL180W,chrXI:115954-115990:+
YKL179C,chrXI:119260-119304:-
YKL222C,chrXI:12113-12134:-
YKL221W,chrXI:12360-12367:+
YKL176C,chrXI:125010-125090:-
YKL175W,chrXI:125453-125528:+
YKL174C,chrXI:129001-129081:-
YKL173W,chrXI:129202-129255:+
YKL172W,chrXI:132466-132481:+
YKL171W,chrXI:134102-134230:+
YKL170W,chrXI:137285-137363:+
YKL168C,chrXI:140217-140255:-
YKL167C,chrXI:140893-140930:-
YKL166C,chrXI:142624-142657:-
YKL165C,chrXI:147446-147506:-
YKL164C,chrXI:149552-149653:-
YKL163W,chrXI:151061-151134:+
YKL162C,chrXI:155611-155697:-
YKL161C,chrXI:157499-157509:-
YKL160W,chrXI:159955-160039:+
YKL159C,chrXI:161203-161250:-
YKL157W,chrXI:161669-161736:+
YKL156W,chrXI:165307-165366:+
YKL155C,chrXI:168085-168131:-
YKL154W,chrXI:168250-168301:+
YKL152C,chrXI:170984-171207:-
YKL151C,chrXI:172638-172739:-
YKL150W,chrXI:173133-173260:+
YKL149C,chrXI:175531-175628:-
YKL148C,chrXI:177851-178052:-
YKL146W,chrXI:178311-178511:+
YKL145W,chrXI:180837-180929:+
YKL144C,chrXI:183223-183299:-
YKL143W,chrXI:183457-183505:+
YKL142W,chrXI:185113-185233:+
YKL141W,chrXI:186342-186420:+
YKL140W,chrXI:187428-187450:+
YKL139W,chrXI:189481-189535:+
YKL138C-A,chrXI:191749-191843:-
YKL138C,chrXI:192488-192559:-
YKL137W,chrXI:192634-192671:+
YKL135C,chrXI:195474-195539:-
YKL134C,chrXI:198215-198250:-
YKL133C,chrXI:199831-199884:-
YKL132C,chrXI:201697-201814:-
YKL130C,chrXI:202780-202879:-
YKL129C,chrXI:206969-207005:-
YKL128C,chrXI:208536-208552:-
YKL127W,chrXI:209900-209933:+
YKL126W,chrXI:211907-212097:+
YKL124W,chrXI:216845-216933:+
YKL122C,chrXI:219435-219484:-
YKL121W,chrXI:220310-220368:+
YKL120W,chrXI:223608-223722:+
YKL119C,chrXI:225664-225698:-
YKL117W,chrXI:226657-226741:+
YKL116C,chrXI:229319-229367:-
YKL114C,chrXI:230879-230940:-
YKL113C,chrXI:232293-232355:-
YKL112W,chrXI:232798-232912:+
YKL110C,chrXI:236311-236348:-
YKL109W,chrXI:238356-238379:+
YKL108W,chrXI:240762-240830:+
YKL107W,chrXI:242431-242536:+
YKL106W,chrXI:243837-243848:+
YKL218C,chrXI:24730-24869:-
YKL105C,chrXI:249107-249217:-
YKL104C,chrXI:251903-252073:-
YKL103C,chrXI:254129-254205:-
YKL101W,chrXI:254991-255109:+
YKL100C,chrXI:261841-261947:-
YKL099C,chrXI:262944-262994:-
YKL098W,chrXI:263136-263194:+
YKL096W-A,chrXI:265510-265752:+
YKL096W,chrXI:267505-267561:+
YKL095W,chrXI:268527-268584:+
YKL094W,chrXI:269745-269783:+
YKL093W,chrXI:271067-271203:+
YKL092C,chrXI:275942-276024:-
YKL091C,chrXI:277084-277149:-
YKL090W,chrXI:278311-278315:+
YKL089W,chrXI:279798-279823:+
YKL088W,chrXI:281628-281700:+
YKL087C,chrXI:284374-284428:-
YKL217W,chrXI:28444-28585:+
YKL086W,chrXI:284595-284700:+
YKL085W,chrXI:285407-285575:+
YKL084W,chrXI:286900-286929:+
YKL082C,chrXI:288811-288865:-
YKL081W,chrXI:289242-289323:+
YKL080W,chrXI:291334-291389:+
YKL079W,chrXI:292912-293005:+
YKL078W,chrXI:295244-295257:+
YKL077W,chrXI:297764-297841:+
YKL075C,chrXI:300810-300868:-
YKL074C,chrXI:302619-302667:-
YKL073W,chrXI:302785-302862:+
YKL072W,chrXI:305809-305814:+
YKL216W,chrXI:31518-31558:+
YKL071W,chrXI:316631-316654:+
YKL069W,chrXI:319021-319074:+
YKL068W-A,chrXI:320819-320934:+
YKL068W,chrXI:321831-321866:+
YKL067W,chrXI:326195-326390:+
YKL065W-A,chrXI:327416-327498:+
YKL065C,chrXI:328617-328730:-
YKL064W,chrXI:329107-329184:+
YKL063C,chrXI:333142-333257:-
YKL062W,chrXI:334575-334772:+
YKL061W,chrXI:337276-337390:+
YKL060C,chrXI:338793-339142:-
YKL059C,chrXI:341025-341061:-
YKL058W,chrXI:341649-341708:+
YKL057C,chrXI:345543-345581:-
YKL056C,chrXI:346481-346606:-
YKL055C,chrXI:347698-347749:-
YKL054C,chrXI:350321-350426:-
YKL053C-A,chrXI:350942-351028:-
YKL052C,chrXI:351998-352120:-
YKL051W,chrXI:352642-352705:+
YKL050C,chrXI:357182-357267:-
YKL049C,chrXI:358270-358338:-
YKL048C,chrXI:360639-360765:-
YKL047W,chrXI:360909-360940:+
YKL046C,chrXI:364293-364376:-
YKL045W,chrXI:364900-364948:+
YKL043W,chrXI:368266-368335:+
YKL042W,chrXI:370010-370061:+
YKL215C,chrXI:37102-37132:-
YKL041W,chrXI:371745-371791:+
YKL040C,chrXI:373556-373624:-
YKL039W,chrXI:374160-374229:+
YKL038W,chrXI:377103-377121:+
YKL214C,chrXI:38121-38147:-
YKL035W,chrXI:381486-381597:+
YKL034W,chrXI:383425-383544:+
YKL033W-A,chrXI:386123-386216:+
YKL033W,chrXI:387167-387190:+
YKL032C,chrXI:393396-393697:-
YKL029C,chrXI:396505-396584:-
YKL028W,chrXI:397453-397485:+
YKL027W,chrXI:399166-399253:+
YKL026C,chrXI:401662-401768:-
YKL025C,chrXI:404043-404061:-
YKL213C,chrXI:40493-40571:-
YKL023W,chrXI:405443-405594:+
YKL212W,chrXI:40647-40804:+
YKL020C,chrXI:413847-413908:-
YKL019W,chrXI:414258-414310:+
YKL018C-A,chrXI:415633-415738:-
YKL018W,chrXI:415782-415847:+
YKL017C,chrXI:418941-419010:-
YKL016C,chrXI:419752-419861:-
YKL015W,chrXI:420195-420283:+
YKL013C,chrXI:429749-429843:-
YKL012W,chrXI:429969-430020:+
YKL011C,chrXI:432956-432992:-
YKL010C,chrXI:437627-437754:-
YKL009W,chrXI:437927-437990:+
YKL008C,chrXI:440307-440481:-
YKL007W,chrXI:440989-441045:+
YKL006C-A,chrXI:442400-442438:-
YKL006W,chrXI:443545-443639:+
YKL211C,chrXI:44535-44616:-
YKL005C,chrXI:446663-446755:-
YKL004W,chrXI:446921-447014:+
YKL003C,chrXI:449238-449275:-
YKL002W,chrXI:449423-449511:+
YKL001C,chrXI:451132-451249:-
YKR001C,chrXI:454473-454554:-
YKR002W,chrXI:454702-454786:+
YKL210W,chrXI:45479-45535:+
YKR003W,chrXI:456994-457097:+
YKR004C,chrXI:459693-459842:-
YKR005C,chrXI:461882-461991:-
YKR006C,chrXI:462936-462987:-
YKR007W,chrXI:463099-463163:+
YKR008W,chrXI:463875-463914:+
YKR009C,chrXI:468806-468963:-
YKR010C,chrXI:472690-472754:-
YKR011C,chrXI:474130-474222:-
YKR013W,chrXI:475273-475341:+
YKR014C,chrXI:477582-477644:-
YKR016W,chrXI:481075-481111:+
YKR017C,chrXI:484842-484916:-
YKR018C,chrXI:487327-487397:-
YKR019C,chrXI:489545-489622:-
YKR020W,chrXI:489688-489807:+
YKR021W,chrXI:490567-490626:+
YKR022C,chrXI:494590-494648:-
YKR023W,chrXI:494777-494793:+
YKR024C,chrXI:498820-498835:-
YKR025W,chrXI:499124-499197:+
YKR026C,chrXI:501147-501231:-
YKR027W,chrXI:503000-503046:+
YKR028W,chrXI:505588-505641:+
YKR029C,chrXI:511584-511605:-
YKR030W,chrXI:511961-512029:+
YKR031C,chrXI:518179-518269:-
YKR034W,chrXI:518562-518676:+
YKR035W-A,chrXI:519654-519684:+
YKR037C,chrXI:523545-523635:-
YKR038C,chrXI:524908-524951:-
YKR039W,chrXI:527005-527153:+
YKR041W,chrXI:529884-529972:+
YKR042W,chrXI:530975-531391:+
YKR043C,chrXI:533428-533484:-
YKR044W,chrXI:533573-533667:+
YKL208W,chrXI:53490-53540:+
YKR045C,chrXI:535688-535741:-
YKR046C,chrXI:536703-536848:-
YKR048C,chrXI:538365-538425:-
YKR049C,chrXI:538936-539037:-
YKR050W,chrXI:539508-539548:+
YKR051W,chrXI:542511-542615:+
YKR052C,chrXI:545201-545341:-
YKR053C,chrXI:546975-547066:-
YKR054C,chrXI:559695-559712:-
